item_id,bio,bio_spr,critical,name,file_name,file_name_real,bio_spr_no_name,pro,verb_match,adj,np,spillover,spill1,spill2,period,post_verb,critical_full,name_original,gender,lifetime,lifetime_distractor,type,tense,mm,list,match,bare,Unique_ID,prac_correct,prac_incorrect
10,Elton John is an English musician. He lives in Windsor.,Elton John*is*an English*musician.*He lives*in Windsor.,"He*has performed*in numerous*music festivals,*as reported by*his biographer.",Elton John,Robin_Williams.jpg,Elton_John.jpg,*is*an English*musician.*He lives*in Windsor.,He,has performed,in numerous,music festivals,through the years,as reported by,his biographer,0,in numerous music festivals through the years.,He has performed in numerous music festivals through the years.,Elton John,male,alive,dead,critical,PP,livingPP,1,yes,perform,110013,crit,crit
10,Elton John is an English musician. He lives in Windsor.,Elton John*is*an English*musician.*He lives*in Windsor.,"He*performed*in numerous*music festivals,*as reported by*his biographer.",Elton John,Robin_Williams.jpg,Elton_John.jpg,*is*an English*musician.*He lives*in Windsor.,He,performed,in numerous,music festivals,through the years,as reported by,his biographer,0,in numerous music festivals through the years.,He performed in numerous music festivals through the years.,Elton John,male,alive,dead,critical,PS,livingPS,2,yes,perform,110024,crit,crit
13,Amy Winehouse was a British singer. She died in London.,Amy Winehouse*was*a British*singer.*She died*in London.,"She*performed*in prestigious*arenas,*so her*website states.",Amy Winehouse,Robin_Williams.jpg,Amy_Winehouse.jpg,*was*a British*singer.*She died*in London.,She,performed,in prestigious,arenas,over time,so her,website states,0,in prestigious arenas over time.,She performed in prestigious arenas over time.,Amy Winehouse,female,dead,alive,critical,PS,deadPS,1,no,perform,113124,crit,crit
13,Amy Winehouse was a British singer. She died in London.,Amy Winehouse*was*a British*singer.*She died*in London.,"She*has performed*in prestigious*arenas,*so her*website states.",Amy Winehouse,Robin_Williams.jpg,Amy_Winehouse.jpg,*was*a British*singer.*She died*in London.,She,has performed,in prestigious,arenas,over time,so her,website states,0,in prestigious arenas over time.,She has performed in prestigious arenas over time.,Amy Winehouse,female,dead,alive,critical,PP,deadPP,4,no,perform,113113,crit,crit
13,Beyoncé is an American singer. She lives in Los Angeles.,Beyoncé*is*an American*singer.*She lives*in Los Angeles.,"She*has performed*in prestigious*arenas,*so her*website states.",Beyoncé,Robin_Williams.jpg,Beyoncé.jpg,*is*an American*singer.*She lives*in Los Angeles.,She,has performed,in prestigious,arenas,over time,so her,website states,0,in prestigious arenas over time.,She has performed in prestigious arenas over time.,Beyoncé,female,alive,dead,critical,PP,livingPP,2,yes,perform,113011,crit,crit
13,Beyoncé is an American singer. She lives in Los Angeles.,Beyoncé*is*an American*singer.*She lives*in Los Angeles.,"She*performed*in prestigious*arenas,*so her*website states.",Beyoncé,Robin_Williams.jpg,Beyoncé.jpg,*is*an American*singer.*She lives*in Los Angeles.,She,performed,in prestigious,arenas,over time,so her,website states,0,in prestigious arenas over time.,She performed in prestigious arenas over time.,Beyoncé,female,alive,dead,critical,PS,livingPS,3,yes,perform,113022,crit,crit
22,David Bowie was a British singer. He died in New York.,David Bowie*was*a British*singer.*He died*in New York.,"He*has played*numerous*concerts,*according to*his memoir.",David Bowie,Robin_Williams.jpg,David_Bowie.jpg,*was*a British*singer.*He died*in New York.,He,has played,numerous,concerts,in his lifetime,according to,his memoir,0,numerous concerts in his lifetime.,He has played numerous concerts in his lifetime.,David Bowie,male,dead,alive,critical,PP,deadPP,1,no,play,122111,crit,crit
22,David Bowie was a British singer. He died in New York.,David Bowie*was*a British*singer.*He died*in New York.,"He*played*numerous*concerts,*according to*his memoir.",David Bowie,Robin_Williams.jpg,David_Bowie.jpg,*was*a British*singer.*He died*in New York.,He,played,numerous,concerts,in his lifetime,according to,his memoir,0,numerous concerts in his lifetime.,He played numerous concerts in his lifetime.,David Bowie,male,dead,alive,critical,PS,deadPS,2,no,play,122122,crit,crit
22,Mick Jagger is a British singer. He lives in London.,Mick Jagger*is*a British*singer.*He lives*in London.,"He*has played*numerous*concerts,*according to*his memoir.",Mick Jagger,Robin_Williams.jpg,Mick_Jagger.jpg,*is*a British*singer.*He lives*in London.,He,has played,numerous,concerts,in his lifetime,according to,his memoir,0,numerous concerts in his lifetime.,He has played numerous concerts in his lifetime.,Mick Jagger,male,alive,dead,critical,PP,livingPP,3,yes,play,122013,crit,crit
22,Mick Jagger is a British singer. He lives in London.,Mick Jagger*is*a British*singer.*He lives*in London.,"He*played*numerous*concerts,*according to*his memoir.",Mick Jagger,Robin_Williams.jpg,Mick_Jagger.jpg,*is*a British*singer.*He lives*in London.,He,played,numerous,concerts,in his lifetime,according to,his memoir,0,numerous concerts in his lifetime.,He played numerous concerts in his lifetime.,Mick Jagger,male,alive,dead,critical,PS,livingPS,4,yes,play,122024,crit,crit
23,Janis Joplin was an American singer. She died in Los Angeles.,Janis Joplin*was*an American*singer.*She died*in Los Angeles.,"She*has played*in numerous*packed arenas,*as stated in*her biography.",Janis Joplin,Robin_Williams.jpg,Janis_Joplin.jpg,*was*an American*singer.*She died*in Los Angeles.,She,has played,in numerous,packed arenas,in her career,as stated in,her biography,0,in numerous packed arenas in her career.,She has played in numerous packed arenas in her career.,Janis Joplin,female,dead,alive,critical,PP,deadPP,2,no,play,123114,crit,crit
23,Janis Joplin was an American singer. She died in Los Angeles.,Janis Joplin*was*an American*singer.*She died*in Los Angeles.,"She*played*in numerous*packed arenas,*as stated in*her biography.",Janis Joplin,Robin_Williams.jpg,Janis_Joplin.jpg,*was*an American*singer.*She died*in Los Angeles.,She,played,in numerous,packed arenas,in her career,as stated in,her biography,0,in numerous packed arenas in her career.,She played in numerous packed arenas in her career.,Janis Joplin,female,dead,alive,critical,PS,deadPS,3,no,play,123123,crit,crit
23,Janet Jackson is an American singer. She lives in Los Angeles.,Janet Jackson*is*an American*singer.*She lives*in Los Angeles.,"She*played*in numerous*packed arenas,*as stated in*her biography.",Janet Jackson,Robin_Williams.jpg,Janet_Jackson.jpg,*is*an American*singer.*She lives*in Los Angeles.,She,played,in numerous,packed arenas,in her career,as stated in,her biography,0,in numerous packed arenas in her career.,She played in numerous packed arenas in her career.,Janet Jackson,female,alive,dead,critical,PS,livingPS,1,yes,play,123021,crit,crit
23,Janet Jackson is an American singer. She lives in Los Angeles.,Janet Jackson*is*an American*singer.*She lives*in Los Angeles.,"She*has played*in numerous*packed arenas,*as stated in*her biography.",Janet Jackson,Robin_Williams.jpg,Janet_Jackson.jpg,*is*an American*singer.*She lives*in Los Angeles.,She,has played,in numerous,packed arenas,in her career,as stated in,her biography,0,in numerous packed arenas in her career.,She has played in numerous packed arenas in her career.,Janet Jackson,female,alive,dead,critical,PP,livingPP,4,yes,play,123012,crit,crit
28,Sir Christopher Lee was a British actor. He died in London.,Sir Christopher Lee*was*a British*actor.*He died*in London.,"He*has received*prestigious*acting awards,*as reported by*his website.",Sir Christopher Lee,Robin_Williams.jpg,Sir_Christopher_Lee.jpg,*was*a British*actor.*He died*in London.,He,has received,prestigious,acting awards,through the years,as reported by,his website,0,prestigious acting awards through the years.,He has received prestigious acting awards through the years.,Sir Christopher Lee,male,dead,alive,critical,PP,deadPP,3,no,receive,128112,crit,crit
28,Sir Christopher Lee was a British actor. He died in London.,Sir Christopher Lee*was*a British*actor.*He died*in London.,"He*received*prestigious*acting awards,*as reported by*his website.",Sir Christopher Lee,Robin_Williams.jpg,Sir_Christopher_Lee.jpg,*was*a British*actor.*He died*in London.,He,received,prestigious,acting awards,through the years,as reported by,his website,0,prestigious acting awards through the years.,He received prestigious acting awards through the years.,Sir Christopher Lee,male,dead,alive,critical,PS,deadPS,4,no,receive,128121,crit,crit
28,Benedict Cumberbatch is a British actor. He lives in London.,Benedict Cumberbatch*is*a British*actor.*He lives*in London.,"He*has received*prestigious*acting awards,*as reported by*his website.",Benedict Cumberbatch,Robin_Williams.jpg,Benedict_Cumberbatch.jpg,*is*a British*actor.*He lives*in London.,He,has received,prestigious,acting awards,through the years,as reported by,his website,0,prestigious acting awards through the years.,He has received prestigious acting awards through the years.,Benedict Cumberbatch,male,alive,dead,critical,PP,livingPP,1,yes,receive,128014,crit,crit
28,Benedict Cumberbatch is a British actor. He lives in London.,Benedict Cumberbatch*is*a British*actor.*He lives*in London.,"He*received*prestigious*acting awards,*as reported by*his website.",Benedict Cumberbatch,Robin_Williams.jpg,Benedict_Cumberbatch.jpg,*is*a British*actor.*He lives*in London.,He,received,prestigious,acting awards,through the years,as reported by,his website,0,prestigious acting awards through the years.,He received prestigious acting awards through the years.,Benedict Cumberbatch,male,alive,dead,critical,PS,livingPS,2,yes,receive,128023,crit,crit
31,Mother Teresa was an Albanian-Indian missionary. She died in Kolkata.,Mother Teresa*was*an Albanian-Indian*missionary.*She died*in Kolkata.,"She*received*prestigious*activism awards,*so her*Wikipedia page states.",Mother Teresa,Robin_Williams.jpg,Mother_Teresa.jpg,*was*an Albanian-Indian*missionary.*She died*in Kolkata.,She,received,prestigious,activism awards,over time,so her,Wikipedia page states,0,prestigious activism awards over time.,She received prestigious activism awards over time.,Mother Teresa,female,dead,alive,critical,PS,deadPS,1,no,receive,131123,crit,crit
31,Mother Teresa was an Albanian-Indian missionary. She died in Kolkata.,Mother Teresa*was*an Albanian-Indian*missionary.*She died*in Kolkata.,"She*has received*prestigious*activism awards,*so her*Wikipedia page states.",Mother Teresa,Robin_Williams.jpg,Mother_Teresa.jpg,*was*an Albanian-Indian*missionary.*She died*in Kolkata.,She,has received,prestigious,activism awards,over time,so her,Wikipedia page states,0,prestigious activism awards over time.,She has received prestigious activism awards over time.,Mother Teresa,female,dead,alive,critical,PP,deadPP,4,no,receive,131114,crit,crit
31,Malala is a Pakistani activist. She lives in Birmingham.,Malala*is*a Pakistani activist.*She lives*in Birmingham.,"She*has received*prestigious*activism awards,*so her*Wikipedia page states.",Malala,Robin_Williams.jpg,Malala.jpg,*is*a Pakistani activist.*She lives*in Birmingham.,She,has received,prestigious,activism awards,over time,so her,Wikipedia page states,0,prestigious activism awards over time.,She has received prestigious activism awards over time.,Malala,female,alive,dead,critical,PP,livingPP,2,yes,receive,131012,crit,crit
31,Malala is a Pakistani activist. She lives in Birmingham.,Malala*is*a Pakistani activist.*She lives*in Birmingham.,"She*received*prestigious*activism awards,*so her*Wikipedia page states.",Malala,Robin_Williams.jpg,Malala.jpg,*is*a Pakistani activist.*She lives*in Birmingham.,She,received,prestigious,activism awards,over time,so her,Wikipedia page states,0,prestigious activism awards over time.,She received prestigious activism awards over time.,Malala,female,alive,dead,critical,PS,livingPS,3,yes,receive,131021,crit,crit
35,Romy Schneider was an Austrian actor. She died in Paris.,Romy Schneider*was*an Austrian*actor.*She died*in Paris.,"She*has released*well-received*movies,*according to*her biographer.",Romy Schneider,Robin_Williams.jpg,Romy_Schneider.jpg,*was*an Austrian*actor.*She died*in Paris.,She,has released,well-received,movies,in her lifetime,according to,her biographer,0,well-received movies in her lifetime.,She has released well-received movies in her lifetime.,Romy Schneider,female,dead,alive,critical,PP,deadPP,1,no,release,135114,crit,crit
35,Romy Schneider was an Austrian actor. She died in Paris.,Romy Schneider*was*an Austrian*actor.*She died*in Paris.,"She*released*well-received*movies,*according to*her biographer.",Romy Schneider,Robin_Williams.jpg,Romy_Schneider.jpg,*was*an Austrian*actor.*She died*in Paris.,She,released,well-received,movies,in her lifetime,according to,her biographer,0,well-received movies in her lifetime.,She released well-received movies in her lifetime.,Romy Schneider,female,dead,alive,critical,PS,deadPS,2,no,release,135123,crit,crit
35,Meryl Streep is an American actor. She lives in Connecticut.,Meryl Streep*is*an American*actor.*She lives*in Connecticut.,"She*has released*well-received*movies,*according to*her biographer.",Meryl Streep,Robin_Williams.jpg,Meryl_Streep.jpg,*is*an American*actor.*She lives*in Connecticut.,She,has released,well-received,movies,in her lifetime,according to,her biographer,0,well-received movies in her lifetime.,She has released well-received movies in her lifetime.,Meryl Streep,female,alive,dead,critical,PP,livingPP,3,yes,release,135012,crit,crit
35,Meryl Streep is an American actor. She lives in Connecticut.,Meryl Streep*is*an American*actor.*She lives*in Connecticut.,"She*released*well-received*movies,*according to*her biographer.",Meryl Streep,Robin_Williams.jpg,Meryl_Streep.jpg,*is*an American*actor.*She lives*in Connecticut.,She,released,well-received,movies,in her lifetime,according to,her biographer,0,well-received movies in her lifetime.,She released well-received movies in her lifetime.,Meryl Streep,female,alive,dead,critical,PS,livingPS,4,yes,release,135021,crit,crit
39,Agatha Christie was a British author. She died in Oxfordshire.,Agatha Christie*was*a British*author.*She died*in Oxfordshire.,"She*has released*critically acclaimed*novels,*as stated on*her website.",Agatha Christie,Robin_Williams.jpg,Agatha_Christie.jpg,*was*a British*author.*She died*in Oxfordshire.,She,has released,critically acclaimed,novels,in her career,as stated on,her website,0,critically acclaimed novels in her career.,She has released critically acclaimed novels in her career.,Agatha Christie,female,dead,alive,critical,PP,deadPP,2,no,release,139114,crit,crit
39,Agatha Christie was a British author. She died in Oxfordshire.,Agatha Christie*was*a British*author.*She died*in Oxfordshire.,"She*released*critically acclaimed*novels,*as stated on*her website.",Agatha Christie,Robin_Williams.jpg,Agatha_Christie.jpg,*was*a British*author.*She died*in Oxfordshire.,She,released,critically acclaimed,novels,in her career,as stated on,her website,0,critically acclaimed novels in her career.,She released critically acclaimed novels in her career.,Agatha Christie,female,dead,alive,critical,PS,deadPS,3,no,release,139123,crit,crit
39,J.K. Rowling is a British author. She lives in Scotland.,J.K. Rowling*is*a British*author.*She lives*in Scotland.,"She*released*critically acclaimed*novels,*as stated on*her website.",J.K. Rowling,Robin_Williams.jpg,JK_Rowling.jpg,*is*a British*author.*She lives*in Scotland.,She,released,critically acclaimed,novels,in her career,as stated on,her website,0,critically acclaimed novels in her career.,She released critically acclaimed novels in her career.,J.K. Rowling,female,alive,dead,critical,PS,livingPS,1,yes,release,139021,crit,crit
39,J.K. Rowling is a British author. She lives in Scotland.,J.K. Rowling*is*a British*author.*She lives*in Scotland.,"She*has released*critically acclaimed*novels,*as stated on*her website.",J.K. Rowling,Robin_Williams.jpg,JK_Rowling.jpg,*is*a British*author.*She lives*in Scotland.,She,has released,critically acclaimed,novels,in her career,as stated on,her website,0,critically acclaimed novels in her career.,She has released critically acclaimed novels in her career.,J.K. Rowling,female,alive,dead,critical,PP,livingPP,4,yes,release,139012,crit,crit
42,Mark Twain was an American author. He died in Connecticut.,Mark Twain*was*an American*author.*He died*in Connecticut.,"He*has sold*well-received*novels,*as reported by*Wikipedia.",Mark Twain,Robin_Williams.jpg,Mark_Twain.jpg,*was*an American*author.*He died*in Connecticut.,He,has sold,well-received,novels,through the years,as reported by,Wikipedia,0,well-received novels through the years.,He has sold well-received novels through the years.,Mark Twain,male,dead,alive,critical,PP,deadPP,3,no,sell,142111,crit,crit
42,Mark Twain was an American author. He died in Connecticut.,Mark Twain*was*an American*author.*He died*in Connecticut.,"He*sold*well-received*novels,*as reported by*Wikipedia.",Mark Twain,Robin_Williams.jpg,Mark_Twain.jpg,*was*an American*author.*He died*in Connecticut.,He,sold,well-received,novels,through the years,as reported by,Wikipedia,0,well-received novels through the years.,He sold well-received novels through the years.,Mark Twain,male,dead,alive,critical,PS,deadPS,4,no,sell,142122,crit,crit
42,George R.R. Martin is an American author. He lives in Santa Fe.,George R.R. Martin*is*an American*author.*He lives*in Santa Fe.,"He*has sold*well-received*novels,*as reported by*Wikipedia.",George R.R. Martin,Robin_Williams.jpg,George_RR_Martin.jpg,*is*an American*author.*He lives*in Santa Fe.,He,has sold,well-received,novels,through the years,as reported by,Wikipedia,0,well-received novels through the years.,He has sold well-received novels through the years.,George R.R. Martin,male,alive,dead,critical,PP,livingPP,1,yes,sell,142013,crit,crit
42,George R.R. Martin is an American author. He lives in Santa Fe.,George R.R. Martin*is*an American*author.*He lives*in Santa Fe.,"He*sold*well-received*novels,*as reported by*Wikipedia.",George R.R. Martin,Robin_Williams.jpg,George_RR_Martin.jpg,*is*an American*author.*He lives*in Santa Fe.,He,sold,well-received,novels,through the years,as reported by,Wikipedia,0,well-received novels through the years.,He sold well-received novels through the years.,George R.R. Martin,male,alive,dead,critical,PS,livingPS,2,yes,sell,142024,crit,crit
45,Prince was an American singer. He died in Minnesota.,Prince*was*an American*singer.*He died*in Minnesota.,"He*sold*popular*records,*so his*memoir says.",Prince,Robin_Williams.jpg,Prince.jpg,*was*an American*singer.*He died*in Minnesota.,He,sold,popular,records,over time,so his,memoir says,0,popular records over time.,He sold popular records over time.,Prince,male,dead,alive,critical,PS,deadPS,1,no,sell,145124,crit,crit
45,Prince was an American singer. He died in Minnesota.,Prince*was*an American*singer.*He died*in Minnesota.,"He*has sold*popular*records,*so his*memoir says.",Prince,Robin_Williams.jpg,Prince.jpg,*was*an American*singer.*He died*in Minnesota.,He,has sold,popular,records,over time,so his,memoir says,0,popular records over time.,He has sold popular records over time.,Prince,male,dead,alive,critical,PP,deadPP,4,no,sell,145113,crit,crit
45,Kendrick Lamar is an American singer. He lives in Los Angeles.,Kendrick Lamar*is*an American*singer.*He lives*in Los Angeles.,"He*has sold*popular*records,*so his*memoir says.",Kendrick Lamar,Robin_Williams.jpg,Kendrick_Lamar.jpg,*is*an American*singer.*He lives*in Los Angeles.,He,has sold,popular,records,over time,so his,memoir says,0,popular records over time.,He has sold popular records over time.,Kendrick Lamar,male,alive,dead,critical,PP,livingPP,2,yes,sell,145011,crit,crit
45,Kendrick Lamar is an American singer. He lives in Los Angeles.,Kendrick Lamar*is*an American*singer.*He lives*in Los Angeles.,"He*sold*popular*records,*so his*memoir says.",Kendrick Lamar,Robin_Williams.jpg,Kendrick_Lamar.jpg,*is*an American*singer.*He lives*in Los Angeles.,He,sold,popular,records,over time,so his,memoir says,0,popular records over time.,He sold popular records over time.,Kendrick Lamar,male,alive,dead,critical,PS,livingPS,3,yes,sell,145022,crit,crit
49,Jimmy Stewart was an American actor. He died in Beverly Hills.,Jimmy Stewart*was*an American*actor.*He died*in Beverly Hills.,"He*has starred*in critically acclaimed*film productions,*according to*his website.",Jimmy Stewart,Robin_Williams.jpg,Jimmy_Stewart.jpg,*was*an American*actor.*He died*in Beverly Hills.,He,has starred,in critically acclaimed,film productions,in his lifetime,according to,his website,0,in critically acclaimed film productions in his lifetime.,He has starred in critically acclaimed film productions in his lifetime.,Jimmy Stewart,male,dead,alive,critical,PP,deadPP,1,no,star,149113,crit,crit
49,Jimmy Stewart was an American actor. He died in Beverly Hills.,Jimmy Stewart*was*an American*actor.*He died*in Beverly Hills.,"He*starred*in critically acclaimed*film productions,*according to*his website.",Jimmy Stewart,Robin_Williams.jpg,Jimmy_Stewart.jpg,*was*an American*actor.*He died*in Beverly Hills.,He,starred,in critically acclaimed,film productions,in his lifetime,according to,his website,0,in critically acclaimed film productions in his lifetime.,He starred in critically acclaimed film productions in his lifetime.,Jimmy Stewart,male,dead,alive,critical,PS,deadPS,2,no,star,149124,crit,crit
49,Brad Pitt is an American actor. He lives in Los Angeles.,Brad Pitt*is*an American*actor.*He lives*in Los Angeles.,"He*has starred*in critically acclaimed*film productions,*according to*his website.",Brad Pitt,Robin_Williams.jpg,Brad_Pitt.jpg,*is*an American*actor.*He lives*in Los Angeles.,He,has starred,in critically acclaimed,film productions,in his lifetime,according to,his website,0,in critically acclaimed film productions in his lifetime.,He has starred in critically acclaimed film productions in his lifetime.,Brad Pitt,male,alive,dead,critical,PP,livingPP,3,yes,star,149011,crit,crit
49,Brad Pitt is an American actor. He lives in Los Angeles.,Brad Pitt*is*an American*actor.*He lives*in Los Angeles.,"He*starred*in critically acclaimed*film productions,*according to*his website.",Brad Pitt,Robin_Williams.jpg,Brad_Pitt.jpg,*is*an American*actor.*He lives*in Los Angeles.,He,starred,in critically acclaimed,film productions,in his lifetime,according to,his website,0,in critically acclaimed film productions in his lifetime.,He starred in critically acclaimed film productions in his lifetime.,Brad Pitt,male,alive,dead,critical,PS,livingPS,4,yes,star,149022,crit,crit
54,Alan Rickman was a British actor. He died in London.,Alan Rickman*was*a British*actor.*He died*in London.,"He*has starred*in well-received*dramas,*as stated on*Wikipedia.",Alan Rickman,Robin_Williams.jpg,Alan_Rickman.jpg,*was*a British*actor.*He died*in London.,He,has starred,in well-received,dramas,in his career,as stated on,Wikipedia,0,in well-received dramas in his career.,He has starred in well-received dramas in his career.,Alan Rickman,male,dead,alive,critical,PP,deadPP,2,no,star,154111,crit,crit
54,Alan Rickman was a British actor. He died in London.,Alan Rickman*was*a British*actor.*He died*in London.,"He*starred*in well-received*dramas,*as stated on*Wikipedia.",Alan Rickman,Robin_Williams.jpg,Alan_Rickman.jpg,*was*a British*actor.*He died*in London.,He,starred,in well-received,dramas,in his career,as stated on,Wikipedia,0,in well-received dramas in his career.,He starred in well-received dramas in his career.,Alan Rickman,male,dead,alive,critical,PS,deadPS,3,no,star,154122,crit,crit
54,Denzel Washington is an American actor. He lives in Los Angeles.,Denzel Washington*is*an American*actor.*He lives*in Los Angeles.,"He*starred*in well-received*dramas,*as stated on*Wikipedia.",Denzel Washington,Robin_Williams.jpg,Denzel_Washington.jpg,*is*an American*actor.*He lives*in Los Angeles.,He,starred,in well-received,dramas,in his career,as stated on,Wikipedia,0,in well-received dramas in his career.,He starred in well-received dramas in his career.,Denzel Washington,male,alive,dead,critical,PS,livingPS,1,yes,star,154024,crit,crit
54,Denzel Washington is an American actor. He lives in Los Angeles.,Denzel Washington*is*an American*actor.*He lives*in Los Angeles.,"He*has starred*in well-received*dramas,*as stated on*Wikipedia.",Denzel Washington,Robin_Williams.jpg,Denzel_Washington.jpg,*is*an American*actor.*He lives*in Los Angeles.,He,has starred,in well-received,dramas,in his career,as stated on,Wikipedia,0,in well-received dramas in his career.,He has starred in well-received dramas in his career.,Denzel Washington,male,alive,dead,critical,PP,livingPP,4,yes,star,154013,crit,crit
57,"Abraham Lincoln was an American politician. He died in Washington, D.C..","Abraham Lincoln*was*an American*politician.*He died*in Washington, D.C..","He*has won*important*elections,*as reported by*his memoir.",Abraham Lincoln,Robin_Williams.jpg,Abraham_Lincoln.jpg,"*was*an American*politician.*He died*in Washington, D.C..",He,has won,important,elections,through the years,as reported by,his memoir,0,important elections through the years.,He has won important elections through the years.,Abraham Lincoln,male,dead,alive,critical,PP,deadPP,3,no,win,157113,crit,crit
57,"Abraham Lincoln was an American politician. He died in Washington, D.C..","Abraham Lincoln*was*an American*politician.*He died*in Washington, D.C..","He*won*important*elections,*as reported by*his memoir.",Abraham Lincoln,Robin_Williams.jpg,Abraham_Lincoln.jpg,"*was*an American*politician.*He died*in Washington, D.C..",He,won,important,elections,through the years,as reported by,his memoir,0,important elections through the years.,He won important elections through the years.,Abraham Lincoln,male,dead,alive,critical,PS,deadPS,4,no,win,157124,crit,crit
